id,english,japanese,romanji,type,category,format,level
1202,launch,立ち上げる,tachi ageru,v,,ichidan,N4
1203,project,このプロジェク,purojekuto,n,,,K
1204,for a while,しばらく,shibaraku,adj,,,H
1205,vacation/holiday,休暇,kyūka,v,,,N1
1206,earn,稼ぐ,kasegu,v,,godan,N1
1207,first (of something),最初,saisho,n,,,N3
1208,dollar,ドル,doru,n,currency,,K
1209,beginning/first time,初めて,hajime,n,,,N3
1210,ability/capability,能力,nōryoku,n,,,N3
1211,within this year,今年中,kotoshi-chū,n,,,N4
1212,theme/topic,テーマ,tēma,n,,,K
1213,research/study,研究,kenkyū,n,,,N4
1214,advice,アドバイス,adobaisu,n,,,K
1215,reference,参考,sankō,n,,,N4
1216,recently/nowadays,最近,saikin,n,,,N3
1217,young people/youth,若者,wakamono,n,,,N3
1218,lack/shortage,不足,fusoku,n,,,N4
1219,instantly/immediately,すぐに,sugu ni,adv,,,H
1220,cafeteria,食堂,shokudō,n,place,,N4
1221,potato,じゃが芋,jagaimo,n,food,,N1
1222,jump,跳ぶ,tobu,v,,,N1
1223,representative,代表,daihyō,n,,,N3
1224,final game of a tournament,決勝戦,kesshōsen,n,,,N3
1225,attend/face,臨む,nozomu,v,intransitive,godan,N1
1226,address,住所,jūsho,n,,,N3
1227,thought,思,shitau,n,,,N4
1228,random,ランダム,randamu,adj,,NA,K
1229,album,アルバム,arubamu,n,,,K
1230,name,名前,namae,n,,,N5
1231,list,挙げる,ageru,v,,ichidan,N1
1232,music instrument,楽器,gakki,n,,,N1
1233,listen (attentively),聴く,kiku,v,,godan,N1
1234,raw/unprocessed,生,nama,adj,,NA,N5
1235,birthday,誕生日,tanjōbi,n,,,N1
1236,login,ログイン,roguin,n,,,K
1237,steak,ステーキ,sutēki,n,,,K
1238,date,デート,dēto,n,,,K
1239,contest,コンテスト,kontetsuto,n,,,K
1240,fashion,ファッション,fasshon,n,,,K
1241,blog,ブログ,burogu,n,,,K
1242,performance,パフォーマンス,pafōmansu,n,,,K
1243,training,トレーニング,torēningu,n,,,K
1244,guitar,ギター,gitā,n,,,K
1245,ballet,バレエ,barē,n,,,K
1246,parade,パレード,parēdo,n,,,K
1247,stylish,おしゃれ,oshare,adj,,NA,H
1248,karaoke,カラオケ,karaoke,n,place,,K
1249,firework display,花火大会,hanabi taikai,n,,,N4
1250,pop,ポップ,poppu,n,music,,K
1251,jazz,ジャズ,jazu,n,music,,K
1252,pro,プロ,puro,n,,,K
1253,go-kart,ゴーカート,gōkāto,n,,,K
1254,rock,ロック,rokku,n,music,,K
1255,documentary,ドキュメンタリー,dokyumentarī,n,,,K
1256,card games,カードゲーム,kādogēmu,n,,,K
1257,translator,翻訳者,hon'yaku-sha,n,job,,N1
1258,fortune/wealth,富,tomi,n,,,N3
1259,servant,サーバント,sābanto,v,,,K
1260,wash,洗う,arau,v,,godan,N3
1261,hand,手,te,n,body part,,N4
1262,brick,レンガ,renga,n,,,K
1263,dance,踊る,odoru,v,,godan,N2
1264,electrician,電気技師,denki gishi,n,job,,N2
1265,no good/not allowed/impossible,駄目,dame,adj,,NA,N1
1266,goose,ガチョウ,gachō,n,animal,,K
1267,reverse,逆,gyaku,adv,,,N2
1268,turn/rotate,回す,mawasu,v,transitive,godan,N3
1269,wheel,車輪,sharin,n,,,N2
1270,degree,度,do,n,,,N5
1271,fold (clothes),畳む,tatamu,v,,godan,N1
1272,get off/dismount,降りる,oriru,v,,ichidan,N3
1273,Christmas,クリスマス,kurisumasu,n,holiday,,K
1274,spend (time),過ごす,sumasu,v,,godan,N3
1275,Halloween,ハロウィン,harōin,n,,,K
1276,beer,ビール,bīru,n,drink,,K
1277,reserve,予約する,yoyaku suru,v,,ichidan,N3
1278,ticket,チケット,chiketto,n,,,K
1279,sell out,売り切れる,urikireru,v,transitive,ichidan,N4
1280,captain,キャプテン,kyaputen,n,,,K
1281,pay,支払う,shiharau,v,,godan,N3
1282,hot dog,ホットドッグ,hottodoggu,n,food,,K
1283,popcorn,ポップコーン,poppukōn,n,food,,K
1284,yatch,ヨット,yotto,n,transportation,,K
1285,kayak,カヤック,kayakku,n,transportation,,K
1286,be crowded,混む,komu,v,,,N2
1287,cabbage,キャベツ,kyabetsu,n,food,,K
1288,carrot,人参,ninjin,n,,,N3
1289,skiing,スキー,sukī,n,,,K
1290,tour,ツアー,tsuā,n,,,K
1291,relax,リラックス,rirakkusu,n,,,K
1292,heart,心,kokoro,n,body part,,N4
1293,worry/anxiety,心配,shinpai,n,,,N3
1294,worry,心配する,shinpai suru,n,,,N3
1295,absolute,絶対,zettai,n,,,N3
1296,impossible,無理,muri,adj,,NA,N2
1297,give up,あきらめる,akirameru,n,,ichidan,H
1298,confidence,自信,jishin,n,,,N3
1299,be confident,自信がある,jishin ga aru,v,,ichidan,N3
1300,proof,証明,shōmei,n,,,N1
1301,prove,証明する,shōmei suru,v,,ichidan,N1
1302,grape,グレープ,gurēpu,n,fruit,,K
1303,pet owner,飼い主,kainushi,n,,,N1
1304,marvel/mystery/wonder,不思議,fushigi,n,,,N3
1305,New Year's,お正月,oshōgatsu,n,holiday,,N4
1306,be proud of,誇りに思う,hokori ni omou,v,transitive,godan,N1
1307,explanation,説明,setsumei,n,,,N3
1308,add,足す,tasu,v,,godan,N4
1309,pull/minus,引く,hiku,v,,godan,N3
1310,multiply,掛ける,kakeru,v,,ichidan,N3
1311,divide,割る,waru,v,,godan,N3
1312,zero,零,rei,n,number,,N2
1313,hundred million,億,oku,n,number,,N2
1314,hundred,百,hyaku,n,number,,N5
1315,thousand,千,sen,n,number,,N5
1316,ten thousand,万,man,n,number,,N5
1317,decimal point,小数点,shōsūten,n,number,,N3
1318,point,点,ten,n,,,N3
1319,percent,パーセント,pāsento,n,,,K
1320,product,商品,shōhin ,n,,,N3
1321,boy,男子,danshi,n,,,N5
1322,girl,女子,joshi,n,,,N5
1323,ratio/proportion,比率,hiritsu,n,,,N1
1324,probability,確率,kakuritsu,n,,,N1
1325,possibility,可能性,kanōsei,n,,,N2
1326,chance,チャンス,chansu,n,,,K
1327,outlook/prospect,見込み,mikomi,n,,,N3
1328,attic,屋根裏,yaneura,n,,,N2
1329,livestock,家畜,kachiku,n,animal,,N2
1330,admit/confess,認める,shitatameru,v,,ichidan,N3
1331,mistake/error,間違い,machigai,n,,,N3
1332,mammal,哺乳類,honyūrui,n,animal,,N2
1333,tomato,トマト,tomato,n,fruit,,K
1334,mango,マンゴー,mangō,n,fruit,,K
1335,mathematics,数学,sūgaku,n,,,N3
1336,math equation,数式,sūshiki,n,,,N3
1337,first/first time,初,hatsu,n,,,N3
1338,face to face/meeting,対面,taimen,n,,,N3
1339,surrounding,周り,mawari,adv,,,N2
1340,other people/others,他人,tanin,n,,,N3
1341,unskilfull/clumsy,下手,heta,n,,,N5
1342,defense,守備,shubi,n,,,N3
1343,attack,攻撃,kōgeki,n,,,N1
1344,boss/superior,上司,jōshi,n,,,N1
1345,monorail,モノレール,monorēru,n,transportation,,K
1346,balloon,風船,fūsen,n,,,N3
1347,accurate,正確,seikaku,adj,,NA,N3
1348,major (study),専攻,senkō,n,,,N1
1349,science,科学,kagaku,n,,,N3
1350,campus,キャンパス,kyanpasu,n,,,K
1351,escalator,エスカレーター,esukarētā,n,,,K
1352,stair,階段,kaidan,n,,,N2
1353,good at/strong point,得意,tokui,adj,,NA,N3
1354,board game,ボードゲーム,bōdogēmu,n,,,K
1355,volunteer,ボランティア,borantia,n,,,K
1356,club,クラブ,kurabu,n,,,K
1357,affiliation,所属,shozoku,n,,,N1
1358,go out/disappear/vanish,消える,kieru,v,intransitive,ichidan,N3
1359,rent,家賃,yachin,n,,,N1
1360,wife,お奥,oku,n,family,,N2
1361,danger/risk/hazard,危険,kiken,n,,,N3
1362,direction/side,方,kata,n,,,N4
1363,experience,経験,keiken,n,,,N3
1364,dorm,寮,ryō,n,,,N1
1365,grade/school year,年生,nensei,n,,,N4
1366,freshman,１年生,ichi nensei,n,,,N4
1367,sophomore,２年生,ni nensei,n,,,N4
1368,junior,３年生,san nensei,n,,,N4
1369,senior,４年生,yo nensei,n,,,N4
1370,elementary school,小学校,shōgakkō,n,,,N5
1371,middle school/junior high school,中学校,chūgakkō,n,,,N5
1372,high school,高校,kōkō,n,,,N5
1373,character/handwriting,字,ji,n,,,N4
1374,school trip,修学旅行,shūgakuryokō,n,,,N1
1375,part-time job,アルバイト,arubaito,n,,,K
1376,decide,決める,kimeru,v,,,N3
1377,advance to higher education,進学する,shingaku suru,v,,ichidan,N3
1378,get a job,就職する,shūshoku suru,v,,ichidan,N1
1379,activity,活動,katsudō,n,,,N3
1380,circle/sport club,サークル,sākuru,n,,,K
1381,job hunting/job searching,就職活動,shūshoku katsudō,n,,,N1
1382,thesis,論文,ronbun,n,,,N3
1383,understand/be clear/realize,分かる,wakaru,v,intransitive,godan,N4
1384,homeland/home country,母国,bogoku,n,,,N5
1385,serious,真剣,shinken,n,,NA,N1
1386,feeling/mood,気分,kibun,n,,,N4
1387,member,員,in,n,,,N4
1388,staff,スタッフ,sutaffu,n,,,K
1389,discuss,議論する,giron suru,v,,ichidan,N3
1390,discussion,議論,giron,n,,,N3
1391,reality/actuality,実際,jissai,n,,,N3
1392,actually,実際に,jissai ni,adv,,,N3
1393,news,ニュース,nyūsu,n,,,K
1394,true/truth/reality,本当,hontō,n,,,N3
1395,false/lie,うそ,uso,n,,,H
1396,effect/effectiveness,効果,kōka,n,,,N2
1397,life,人生,jinsei,n,,,N5
1398,stay up late,夜更かしする,yofukashi suru,v,,ichidan,N3
1399,infertility,不妊,funin,n,,,N1
1400,absence,欠席,kesseki,n,,,N3
1401,cockaroach,ゴキブリ,gokiburi,n,,,K
1402,more and more/increasingly,ますます,masumasu,adv,,,H
1403,new year's eve,大晦日,ōmisoka,n,holiday,,N3
1404,line up,並ぶ,narabu,v,,,N2
1405,stand,立つ,tatsu,v,,godan,N4
1406,irotoridori,色とりどり,colorful,adj,,NA,N4
1407,color,色,iro,n,,,N4
1408,walk/stroll,散歩,sanpo,n,,,N3
1409,zombie,ゾンビ,zonbi,n,,,K
1410,shoot,撃つ,utsu,v,,godan,N1
1411,studying abroad,留学,ryūgaku,n,,,N3
1412,magic,魔法,mahō,n,,,N1
1413,main,主,omo,n,,,N4
1414,weapon,武器,buki,n,,,N1
1415,gun,銃,jū,n,,,N1
1416,cane/wand/walking stick,杖,tsue,n,,,N2
1417,angle,天使,tenshi,n,,,N4
1418,smile,笑顔,egao,n,,,N3
1419,pose,ポーズ,pozzu,n,,,K
1420,posture,構え,kamae,n,,,N3
1421,get ready/set up,構える,kamaeru,v,,ichidan,N3
1422,formal,形式的,keishiki-teki,adj,,NA,N2
1423,gymnastic,体操選手,taisō senshu,n,job,,N1
1424,gymnast,体操,taisō,n,,,N1
1425,nature,自然,shizen,adj,,NA,N3
1426,education,教育,kyōiku,n,,,N3
1427,demand,需要,juyō,n,,,N1
1428,personal,個人的,kojin-teki,adj,,NA,N2
1429,season/period,時期,jiki,n,,,N3
1430,top priority/maximum priority,最優先,sai yūsen,n,,,N3
1431,priority,優先,yūsen,n,,,N3
1432,suitable/competence,適任,tekinin,adj,,NA,N3
1433,inefficient,非効率,hikōritsu,adj,,,N1
1434,method/way,方法,hōhō,n,,,N3
1435,agreement,賛成,sansei,n,,,N3
1436,efficient,効率的,kōritsu-teki,adj,,NA,N3
1437,personal opinion,私見,shiken,n,,,N5
1438,proposal/suggestion,提案,teian,n,,,N1
1439,charm/glamour,魅力,miryoku,n,,,N1
1440,lose/be defeated,負ける,makeru,v,,ichidan,N3
1441,less than,未満,miman,n,,,N3
1442,cancer,癌,gan,n,,,N1
1443,cure,治す,naosu,v,,godan,N3
1444,body weight,体重,taijū,n,,,N4
1445,household income,世帯収入,setai shūnyū,n,,,N2
1446,gather/get together,集まる,atsumaru,v,,ichidan,N4
1447,economy,経済,keizai,n,,,N3
1448,be late/be delayed,遅れる,okureru,v,,ichidan,N3
1449,very soon,もうすぐ,mōsugu,adv,,,H
1450,arrive,到着する,tōchaku suru,v,,ichidan,N3
1451,arrival,到着,tōchaku,n,,,N3
1452,importance,重要性,jūyō-sei,n,,,N3
1453,understand,理解する,rikai suru,v,,ichidan,N3
1454,success,成功,seikō,n,,,N1
1455,imagination,想像,sōzō,n,,,N2
1456,express,急行,kyūkō,n,,,N4
1457,shake/swing/sway,揺る,yuru,v,transitive,godan,N1
1458,corner,隅,sumi,n,,,N2
1459,see/face/notice/confront,見える,mieru,v,,ichidan,N5
1460,information desk,案内所,annaisho,n,,,N1
1461,watch,腕時計,udedokei,n,,,N2
1462,remove/take off,外す,hazusu,v,,godan,N5
1463,cappuchino,カプチーノ,kapuchīno,n,,,K
1464,satisfaction,満足,mazoku,n,,,N3
1465,roommate,ルームメイト,rūmumeito,n,,,K
1466,burden,負担,futan,n,,,N2
1467,lively/healthy/fine,元気,genki,adj,,NA,N4
1468,chameleon,カメレオン,kamereon,n,animal,,K
1469,nose,鼻,hana,n,body part,,N2
1470,heat/fever,熱,netsu,n,,,N3
1471,rude,失礼,shitsurei,adj,,NA,N3
1472,meeting,会議,kaigi,n,,,N3
1473,important,大事,daiji,adj,,NA,N4
1474,document,書類,shorui,n,,,N3
1475,promise,約束,yakusoku,n,,,N3
1476,I (male),僕,boku,,,,N1
1477,date of birth,生年月日,seinengappi,n,,,N5
1478,fault,せい,sei,n,,,H
1479,send back,送り返す,okurikaesu,v,,godan,N3
1480,luggage/package,荷物,nimotsu,n,,,N2
1481,send/ship,送る,okuru,v,,godan,N4
1482,spoon,スプーン,supūn,n,,,K
1483,search/seek/look for,探す,sagasu,v,,godan,N3
1484,business,ビジネス,bizinesu,n,,,K
1485,hamster,ハムスター,hamusutā,n,animal,,K
1486,salad,サラダ,sarada,n,food,,K
1487,hiking,ハイキング,haikingu,n,,,K
1488,view/scenery,景色,keshiki,n,,,N3
1489,pepper,胡椒,koshō,n,,,N1
1490,seafood,海鮮,kaisen,n,,,N1
1491,discuss,話し合う,hanashiau,v,,godan,N3
1492,opportunity/chance,機会,kikai,n,,,N3
1493,dress,ドレス,doresu,n,clothes,,K
1494,sell,売る,uru,n,,godan,N4
1495,take with/bring,持って行く,motte iku,n,,godan,N4
1496,wonderful,素晴らしい,subarashī,adj,,I,N1
1497,port,港,minato,n,place,,N3
1498,port town,港町,minatochō,n,place,,N3
1499,fresh,新鮮,shinsen,adj,,NA,N1
1500,ask/request/beg,頼む,tanomu,v,,godan,N3
1501,fork,フォーク,fōku,n,,,K
1502,oolong tea,ウーロン茶,ūron cha,n,drink,,N4
1503,cold/icy/chilly,冷たい,tsumetai,adj,,I,N3
1504,barbecue,バーベキュー,bābekyū,n,,,K
1505,get dirty/become soiled,汚れる,yogoreru,v,intransitive,ichidan,N2
1506,grill,グリル,guriru,n,,,K
1507,camp/camping,キャンプ,kyanpu,n,,,K
1508,tent,テント,tento,n,,,K
1509,Chinatown,中華街,chūkagai,n,,,N1
1510,tapioca/bubble tea,タピオカ,tapioka,n,drink,,K
1511,page,ページ,pēji,n,,,K
1512,go down/come down,下がる,sagaru,n,,,N5
1513,scissor,はさみ,hasami,n,tool,,H
1514,sharpness/cutting ability,切れ味,kireaji,n,,,N4
1515,pot,鍋 ,nabe,n,,,N1
1516,spicy,辛い,karai,adj,,I,N2
1517,chinese dumpling,餃子,gyōza,n,,,N1
1518,change (money),お釣り,otsuri,n,,,N1
1519,cashier,レジ係,reji-gakari,n,job,,N3
1520,sightseeing,観光,kankō,n,,,N3
1521,shrimp,海老,ebi,n,animal,,N3
1522,live/exist,生きる,ikiru,v,,ichidan,N5
1523,calculation/count,計算,keisan,n,,,N2
1524,handover/pass/give,渡す,watasu,v,,godan,N3
1525,waiter,ウェイター,ueitā,n,,,K
1526,spa,スパ,supa,n,,,K
1527,towel,タオル,taoru,n,,,K
1528,password,パスワード,pasuwādo,n,,,K
1529,room service,ルームサービス,rūmusābisu,n,,,K
1530,toast,トースト,tōsuto,n,food,,K
1531,internet,インターネット,intānetto,n,,,K
1532,coffee maker,コーヒーメーカー,kōhīmēkā,n,,,K
1533,credit card,クレジットカード,kurejittokādo,n,,,K
1534,free,無料,muryō,adj,,NA,N2
1535,number,番号,bangō,n,,,N3
1536,confirm/assure/check,確かめる,tashikameru,n,transitive,ichidan,N3
1537,sour,酸っぱい,suppai,adj,,I,N1
1538,star,星,hoshi,n,space,,N2
1539,ghost,幽霊,yūrei,n,,,N1
1540,telescope,望遠鏡,bōenkyō,n,,,N1
1541,umbrella,傘,kasa,n,,,N1
1542,grass,ガラス,gurasu,n,,,K
1543,freedom/liberty,自由,jiyū,n,,,N3
1544,religion,宗教,shūkyō,n,,,N1
1545,snoring,鼾,ibiki,n,,,N1
1546,snore,鼾をかく,ibiki o kaku,v,,godan,N1
1547,sturdy,頑丈,ganjō,adj,,NA,N1
1548,rubber,ゴム,gomu,n,,,K
1549,eraser,消しゴム,keshigomu,n,,,N3
1550,altar,祭壇,saidan,n,,,N1
1551,tooth/teeth,歯,ha,n,body part,,N3
1552,surfing,波乗り,namimori,n,,ichidan,N2
1553,case/situation,場合,baai,n,,,N3
1554,cracker/hard biscuit,乾パン,kanpan,n,,,N2
1555,horror,ホラー,horā,n,,,K
1556,seat,席,seki,n,,,N3
1557,property,財産,zaisan,n,,,N3
1558,valuables,貴重品,kichō-hin,n,,,N1
1559,take off,離陸する,ririku suru,v,,ichidan,N1
1560,obstacle/hindrance,邪魔,jama,n,,,N1
1561,disturb/interrupt,邪魔する,jama suru,v,,,N1
1562,cup,コップ,koppu,n,,,K
1563,stick/paste/put up,貼る,haru,v,,godan,N1
1564,long time ago,昔,mukashi,n,,,N3
1565,aquarium,水族館,suizokukan,n,place,,N4
1566,draw,描く,kaku,v,,godan,N1
1567,stamp,切手,kitte,n,,,N4
1568,get/receive,貰う,morau,v,,,N1
1569,culture,文化,bunka,n,,,N3
1570,feeling/sensation,気持ち,kimochi,n,,,N4
1571,care about/worry about,気にする,kini suru,v,,ichidan,N5
1572,inn/lodging,宿,yado,n,,,N3
1573,stay,泊まる,tomaru,v,,godan,N2
1574,remain/be left,残る,nokoru,v,intransitive,godan,N3
1575,crepe,クレープ,kurēpu,n,,,K
1576,peanut,ピーナッツ,pīnattsu,n,,,K
1577,lead/leash,リード,rīdo,n,,,K
1578,pet,ペット,petto,n,,,K
1579,keep (animals)/raise,飼う,kau,v,,godan,N1
1580,aid/looking after,世話,sewa,n,,,N4
1581,rope,ロープ,rōpu,n,,,K
1582,sign/signature/autograph,サイン,sain,n,,,K
1583,Thailand,タイ,tai,n,country,,K
1584,artist,アーティスト,ātisuto,n,,,K
1585,stage,ステージ,sutēji,n,,,K
1586,headphone,ヘッドホン,heddohon,n,,,K
1587,receipt,レシート,reshīto,n,,,K
1588,speaker,スピーカー,supīkā,n,,,K
1589,mouse,マウス,mausu,n,,,K
1590,keyboard,キーボード,kībōdo,n,,,K
1591,fried chicken,フライドチキン,furaidochikin,n,,,K
1592,light/lightweight,軽い,karui,n,,,N2
1593,clerk,店員,ten'in,n,,,N4
1594,plastic bag/shopping bag,レジ袋,rejifukuro,n,,,N2
1595,bag/sack,袋,furuko,n,,,N2
1596,give (to me)/let one have,呉れる,kureru,v,,ichidan,N1
1597,middle/centre,真ん中,man'naka,n,,,N4
1598,battery,電池,denchi,n,,,N2
1599,charger,充電器,jūdenki,n,,,N1
1600,on the way,途中で,tochū de,,,,N3
1601,crazy,クレイジー,kureijī,adj,,NA,K
1602,sanity/conciousness,正気,shōki,n,,,N4
1603,north pole,北極,hokkyoku,n,,,N2
1604,south pole,南極,nankyoku,n,,,N2
1605,leaf,葉っぱ,happa,n,nature,,N3
1606,exbihit/exhibition,展示品,tenjihin,n,,,N1
1607,rubbish/dust,ゴミ,gomi,n,,,K
1608,hurt/painful,痛い,itai,adj,,,N3
1609,remote control,リモコン,rimokon,n,,,K
1610,merchandise,グッズ,guzzu,n,,,K
1611,pray,祈る,inoru,v,,godan,N2
1612,prayer,お祈り,oinori,n,,,N2
1613,boast/pride,自慢,jiman,n,,,N1
1614,brag/show off,自慢 する,jiman suru,v,,ichidan,N1
1615,kettle,薬缶,yakan,n,,,N2
1616,American football,アメフト,amefuto,n,sport,,K
1617,be open,開かれる,akareru,v,intransitive,ichidan,N4
1618,rise/swell/be promoted,高まる,takamaru,v,intransitive,godan,N5
1619,countryside/suburb,田舎,inaka,n,,,N1
1620,the day before yesterday,一昨日,ototoi,n,,,N3
1621,the day after tomorrow,明後日,asatte,n,,,N4
1622,root,根,ne,n,,,N2
1623,spread,広がる,hirogaru,v,intransitive,godan,N4
1624,support/sustain,支える,sasaeru,v,,ichidan,N3
1625,complete,完成する,kansei suru,v,,ichidan,N3
1626,completion,完成,kansei,n,,,N3
1627,dorm,ドーム,dōmu,n,,,K
1628,flag,旗,hata,n,,,N1
1629,delay/postpone/put off,延期する,enki suru,v,,ichidan,N2
1630,landlord,大家,ōya,n,,,N4
1631,soap,石鹸,sekken,n,,,N1
1632,thick,厚い,atsui,adj,,I,N2
1633,love/romance,恋愛,ren'ai,n,,,N2
1634,manga,漫画,manga,n,,,N1
1635,western-styled clothes,洋服,yōfuku,n,clothes,,N4
1636,muscle/tendon,筋,suji,n,,,N1
1637,bookstore,書店,shoten,n,place,,N4
1638,record/document,記録,kiroku,n,,,N2
1639,information,情報,jōhō,n,,,N3
1640,feel/sense/experience,感じる,kanjiru,v,,ichidan,N3
1641,truth,真実,shinjitsu,n,,,N3
1642,existance/being,存在,sonzai,n,,,N3
1643,ping pong,ピンポン,pinpon,n,sport,,K
1644,break up/split/separate,別れる,wakareru,v,,ichidan,N4
1645,cancel/discontinuation,中止,chūshi,n,,,N4
1646,contract,契約,keiyaku,n,,,N1
1647,signature,署名,shomei,n,,,N2
1648,strong/durable,丈夫,jōbu,adj,,NA,N1
1649,alcohol,酒,sake,n,drink,,N3
1650,attach/connect/follow,付く,oku,v,,godan,N3
1651,classmate,同級生,dōkyūsei,n,,,N1
1652,classmate,クラスメート,kurasumēto,n,,,K
1653,sock,靴下,kutsushita,n,clothes,,N3
1654,jeans,ジーンズ,jīnzu,n,clothes,,K
1655,sweater,セーター,sētā,n,clothes,,K
1656,worn out,ぼろぼろ,boroboro,adj,,NA,H
1657,inconvenient,不便,fuben,adj,,NA,N3
1658,drugstore,ドラッグストア,doraggusutoa,n,place,,K
1659,drugstore,薬局,yakkyoku,n,place,,N3
1660,tower,タワー,tawā,n,,,K
1661,accessory,アクセサリー,akusesarī,n,,,K
1662,set up/establish/make (plan),立てる,tateru,v,,ichidan,N4
1663,sparkly,キラキラ,kirakira,adj,,NA,K
1664,design,デザイン,dezain,n,,,K
1665,hoodie,パーカー,pākā,n,clothes,,K
1666,pancake,パンケーキ,pankēki,n,food,,K
1667,muffler/scarf,マフラー,mafurā,n,clothes,,K
1668,knit,編む,amu,v,,godan,N2
1669,taste/savor/relish,味わう,ajiwau,v,,godan,N4
1670,rot/go bad/decay,腐る,kusaru,v,,godan,N1
1671,stomach,お腹,onaka,n,,,N3
1672,be surprised/be astonished,驚く,odoroku,v,,godan,N1
1673,other side/beyond/opposite side,向こう,mukō,n,,,N3
1674,once upon a time,昔々,mukashimukashi,,time,,N3
1675,village,村,mura,n,,,N3
1676,cross over/pass through,越える,koeru,v,intransitive,ichidan,N3
1677,tale/story/legend,物語,monogatari,n,,,N4
1678,long time/long time no see,久しぶり,hisashiburi,,time,,N2
1679,nostalgic,懐かしい,natsukashī,adj,,I,N1
1680,weak point/weak,苦手,nigate,adj,,NA,N3
1681,ice skating,アイススケート,aisusukēto,n,sport,,K
1682,sweet potato,さつまいも,satsumaimo,n,food,,H
1683,heating/heater,暖房,danbō,n,machine,,N1
1684,mandarin orange,みかん,mikan,n,fruit,,H
1685,snowboarding,スノーボード,sunōbōdo,n,sport,,K
1686,unhappy,不幸せ,fushiawase,adj,,NA,N3
1687,be in trouble,困る,komaru,v,,godan,N3
1688,receive,もらう,morau,v,,godan,H
1689,happy/blessing,幸せ,shiawase,adj,,NA,N3
1690,storage/reservation,保存,hozon,n,,,N1
1691,society/public/community,社会,shakai,n,,,N4
1692,company,会社,kaisha,n,,,N4
1693,international,国際的,kokusai-teki,adj,,NA,N2
1694,olympics,オリンピック,orinpikku,n,,,K
1695,jogging,ジョギング,jogingu,n,sport,,K
1696,submit/present/hand in,提出する,teishutsu suru,n,,,N1
1697,second-hand/used,中古,chūko,n,,,N4
1698,automatic/automatically,自動的,jidōteki,adj,,NA,N2
1699,update/renewal,更新,kōshin,n,,,N3
1700,discount,割引,waribiki,n,,,N3
1701,text book,教科書,kyōkasho,n,,,N3
1702,hallway/corridor,廊下,rōka,n,,,N1
1703,advance/go forward,進む,susumu,v,,godan,N3
1704,ahead/beyond,先,saki,n,,,N5
1705,customer/guest,お客様,okyakusama,n,,,N3
1706,cooperation,株式会社,kabushikigaisha,n,,,N1
1707,manager/department,部長,buchō,n,,,N3
1708,sleepy,眠い,nemui,adj,,I,N3
1709,soon,そろそろ,sorosoro,,,,H
1710,oversleep,寝坊する,nebōsuru,v,,ichidan,N2
1711,novel,小説,shōsetsu,n,,,N3
1712,guidance,案内,an'nai,n,,,N1
1713,guide,案内する,an'nai suru,v,,ichidan,N1
1714,recommend,勧める,susumeru,v,,ichidan,N1
1715,hope/wish/desire,願う,negau,v,,godan,N3
1716,cure/heal/get well,治る,naoru,v,,godan,N3
1717,peace/harmony,平和,heiwa,n,,,N3
1718,all/everybody/everyone,皆,mina,n,,,N3
1719,cooperation,協力,kyōryoku,n,,,N2
1720,tell a lie,嘘をつく,usowotsuku,v,,godan,N1
1721,condition,調子,chōshi,n,,,N3
1722,all day long/the whole day,一日中,ichinichijū,,time,,N5
1723,operate (machine)/control,操作する,sōsa suru,v,,ichidan,N1
1724,carry/transport,運ぶ,hakobu,v,,godan,N4
1725,robot,ロボット,robotto,n,,,K
1726,generally/usually,大抵,taitei,adv,frequency,,N1
1727,roughly/generally/mostly,大体,daitai,adv,frequency,,N4
1728,computer,コンピューター,konpyūtā,n,,,K
1729,escape/be omitted/come out,抜ける,nukeru,v,,ichidan,N3
1730,pass through/go through,通り抜ける,tōrinukeru,v,,ichidan,N3
1731,alarm,アラーム,arāmu,n,,,K
1732,blanket,ブランケット,buranketto,n,,,K
1733,message,メッセージ,messēji,n,,,K
1734,continue/keep up/keep on,続ける,tsudzukeru,v,transitive,ichidan,N3
1735,sound/ring,鳴る,naru,v,intransitive,godan,N3
1736,departure,出発,shuppatsu,n,,,N4
1737,thanks/gratitude,お礼,orei,n,,,N3
1738,center,センター,sentā,n,,,K
1739,limited/limit/restrict,限る,kagiru,v,,godan,N3
1740,eagerness/risking one's life,懸命,kenmei,n,,,N1
1741,very hard/with all one's might,一生懸命,isshōkenmei,n,,,N1
1742,hurry/rush,急ぐ,isogu,v,,godan,N4
1743,cruise,クルーズ,kurūzu,n,transportation,,K
1744,swimsuit,水着,mizugi,n,clothes,,N4
1745,lobster,ロブスター,robusutā,n,animal,,K
1746,all-you-can-eat,食べ放題,tabehōdai,n,,,N3
1747,hamburger,ハンバーガー,hanbāgā,n,food,,K
1748,splendid/nice/wonderful,結構,kekkō,adj,,NA,N1
1749,resort,リゾート,rizōto,n,,,K
1750,cherry blossom viewing,花見,hanami,n,,,N4
1751,mochi,餅,mochi,n,food,,N2
1752,stir-fried noodle,焼きそば,yakisoba,n,food,,N2
1753,essay,作文,sakubun,n,,,N4
1754,metal,金属,kinzoku,n,,,N1
1755,stall/food stall,屋台,yatai,n,,,N4
1756,mistake/error,間違え,machigae,n,,,N3
1757,goat,ヤギ,yagi,n,animal,,K
1758,pet (an animal),なでる,naderu,v,,ichidan,H
1759,hand gel,ハンドジェル,handojeru,n,,,K
